"NEW SINCE","PARTY","ENTRY BY","PARTY ADD","PARTY ADD2","CITY","CELL NO","EMAILID","CELLNO2","EMAILID2","GST NO","REMARKS",
"8/10/2021 10:02:00 AM","3d Vision Cad-cam Services","","RAM NAGAR","","RAM NAGAR","224014080","3dvisioncadcam@gmail.com","","","","",
"2/6/2025 10:43:46 AM","RENIRWA JEWELS","","SURAT-9825998090","","SURAT","9825998090","NOEMAIL@GMAIL.COM","","","NO GST","",
"2/4/2025 3:44:42 PM","VIJAY EXPORTS","","MUMBAI 
9619622822","","MUMBAI","9619622822","noemail@gmail.com","","","nogst","",
"2/4/2025 3:22:37 PM","D.N. JEWELS MANUFACTURING","","PLOT No 205, SURAT SPECIAL ECONOMIC ZONE, SACHIN, SURAT, Surat, Gujarat, 394230
24AANFR8791A2ZX
9723855755","","SURAT","9723855755","NOEMAIL@GMAIL.COM","","","NO GST","",
"2/4/2025 2:19:51 PM","BHAVANI ORNAMENT","","RAJKOT","","RAJKOT","8160964040","NO@GMAIL.COM","","","NO","",
"2/3/2025 4:04:25 PM","JK ENTERPRISE","","ISKON INDUSTRIAL SHED NO.7, RAVKI-RAJKOT(GUJRAT)
8140975935/6353953049","","GUJRAT","8140975935/6353953049","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/3/2025 3:46:48 PM","YOGINI ALANKAR","","GUJARAT MEHASANA-9924533364","","GUJARAT","9924533364","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/3/2025 11:50:40 AM","ABHIJIT DHARA","","198,SHANTI BHAVAN, KALBADEVI ROAD, 4TH FLOOR,ROOM NO-3/40,MUMBAI-400002
9769064417/9769369441","","MUMBAI","9769064417/9769369441","noemail@gmail.com","","","nogst","",
"2/3/2025 11:49:09 AM","A.M.CASTING","","14, ZAVERI MARKET, 2ND FLOOR , PATRAWALI CHOWK, SURENDRANAGAR-GUJARAT
9824216279","","GUJARAT","9824216279","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/1/2025 6:26:21 PM","RAJANI JEWELS","","SURAT
9825192514","9~","SURAT","9825192514","no@email.com","","","gst","",
"2/1/2025 5:22:18 PM","UMESH KUMAR SARRAFF","","MISTON GANJ SARRAFFA BAZAR, RAMPUR,UTTAR PRADESH 
9837352366","","UTTAR PRADESH","9837352366","arilagarwal@gmail.com","","","nogst","",
"2/1/2025 2:49:09 PM","TASNIM MOTIWALA","","SHOP NO .3,6,7,8 FORTUNE TOWER,337,SIR JJ ROAD BYCULLA, MUMBAI-400008
98290750153/9920077770","","MUMBAI","98290750153/9920077770","ms@motiwalas.com","","","no gst","",
"2/1/2025 1:57:17 PM","DIDDI JEWELLERS","","47,SANTHAPET BAZAAR, GUDIYATTAM,VELLORE DIST,TAMILNADU 
9161191622","","TAMILNADU","9161191622","DIDDIJEWELLERS@GMAIL.COM","","","NNNNNOGST","",
"2/1/2025 11:44:14 AM","SWARNA JEWELS","","A/1-325,3RD FLOOR,SHAH&NAHAR INDUSTRIAL ESTATE,S.J.MARG,LOWER PAREL,MUMBAI-400013 
8928776221/2231726735","","MUMBAI","8928776221/2231726735","swarnajewels9@gmail.com","","swarnajewels9@gmail.com","nogst","",
"2/1/2025 11:10:07 AM","TENX DIAMONDS","TAMANNA","46, Chokkapanaikan Street,Near South Tower Meenaktchi Amman Temple,Madurai - 625001","","MADURAI","8973609680","noemail@gmail.com","","","nogst","",
"1/31/2025 3:00:32 PM","DEVANSHI JEWELS","","NO.543,OPP, VISWESWARA SCHOOL, SUKRAWARPET, R.S PURAM,COIMBATORE-641001
9446094936/9744094936","","COIMBATORE","9446094936/9744094936","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"1/31/2025 2:46:00 PM","KANCHAN JEWELS","","7-2-3309&310,PVP GGOLD CENTER,2ND FLOOR,SHOP NO :6&7,ASHOK  NAGAR, POT MARKET, SECUNDERABAD-500003 
9321521500","HYDERABAD","HYDERABAD","9321521500","kanchanjewels@yahoo.in","","","nogst","",
"1/31/2025 12:47:27 PM","TREPECHY JEWELS","","OPERA HOUSE,  MUMBAI
8668442792","1","MUMBAI","8668442792","NO@EMAIL.COM","","","GST","",
"1/31/2025 11:17:23 AM","IJ ENTERPRISES","","304-A/5, 2ND FLOOR,TNHB, PHASE-II, BRIDHAVAN NAGAR, HOSUR, KRISHNAGIRI (DT), TAMILNADU- 635109
GSTIN:-33AAJFI4994C1ZB
 99941 06619","-~","TAMILNADU","99941 06619","no@email.com","","","gst","",
"1/30/2025 2:20:11 PM","RAJASTHAN JEWELLERS PVT LTD","","GF-12, RAJRATNA  ARCADE, OPP. SATYAM TOWER, STATION ROAD MANINAGAR AHMEDABAD GUJARAT , INDIA-07925461975","","GUJARAT","07925461975","NOEMAIL@GMAIL.COM","","","NO GST","",
"1/30/2025 11:42:06 AM","THE TRADITION","","6/1273, BHOOT SHERI, HARI PURA, MAHIDHARPUR ROAD, SURAT-(GUJ) INDIA-395003
9904000091","","SURAT","9904000091","contact@thetradition.store","","","no gst no","",
"1/29/2025 2:33:35 PM","HIT GOLD","","GALA NO : 111,TANVI DIAMODA GOLD,BESIDE H.P.PETROL PUMP, S.V.ROAD, DAHISAR(E).MUMBAI-400068 
9867543831/8879242826","","MUMBAI","9867543831/8879242826","hitgold18@gmail.com","","","nogst","",
"1/29/2025 2:51:13 PM","NEW BIJI GOLD & DIAMONDS","","Srinivas Heights, 2nd Floor, 2-3-578/1, Minister Road, Secunderabad - 500 003. Telangana","","Telangana","+91 99668 60002","newbiji20921@gmail.com","","","NO","",
"1/29/2025 2:45:04 PM","BHAVYADEEP DODIYA","","20-Shakti Society, Sant Kabir Road, Rajkot-3. (Guj.)","","RAJKOT","+91 84014 77777","gangotrigoldcreation@gmail.com","","","NO","",
"1/29/2025 12:51:25 PM","SRI MAHAVEER JEWELLERS","","NO:19, HOSPITAL ROAD, MADURANTAKAM-603306,TAMILNADU 
9894191918","","TAMILNADU","9894191918","noemail@gmail.com","","","nogst","",
"1/29/2025 1:51:06 PM","ZULARI INDIA PVT LTD","","FREEDOM HOUSE NEAR BANDHAN BANK  KRISHNA NAGAR (MP) SATNA -485001
9522572729/9425172729","","SATNA","9522572729/9425172729","sunilkumarkapri@gmail.com","","","no gst","",
"2/6/2025 2:17:01 PM","PARMESHWAR GOLD","","LAXMI INDUSTRIAL ESTATE GALA NO .104 DIST-PALGHAR VASAI (EAST ) MUMBAI-401208
9096858757","","MUMBAI","9096858757","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/7/2025 10:45:13 AM","NILKANTH DIAM","","A 101, PARTH BUILDING NEAR L B KATO, 
JADAKHADI MAHIDHARPURA, 
MAHIDHARPURA, Surat, Gujarat, 395003 
9913246146 
24AAKFN5161D1ZH","","SURAT","9913246146","nilkanthdiam@gmail.com","","","24AAKFN5161D1ZH","",
"2/7/2025 2:18:09 PM","NILESH KOTHARI","","54/115, 3RD FLOOR, KARNEESWARAR KOIL STREET, MYLAPORE, CHEΝΝΑΙ-600004
MO   9841916279 / 8667363853","","MYLAPORE","+91 9841916279","kothari974@gmail.com","","","NO","",
"2/7/2025 4:19:06 PM","LAXMI HOSUR","","MUMBAI 
9443142433","","MUMBAI","9443142433","noemail@gmail.com","","","nogst","",
"2/14/2025 12:10:23 PM","SAWA GOLD","","19/366,A15,2ND FLOOR, UNITY TOWER,PUTHIYAPALAM  CHALAPPUAM,CALICUT,673002 
7012312268","","CALICUT","7012312268","noemail@gmail.com","","","nogst","",
"2/14/2025 11:29:52 AM","DIAMOND & GOLD JEWELLERY CASTING","","IX/4656,GALI NO :2, NEAR KALI MATA MANDIR AJEET NAGAR,GANDHI NAGAR, DELHI-110031 
9210479568/9718116342","","delhi","9210479568/9718116342","noemail@gmail.com","","","nogst","",
"2/14/2025 10:34:50 AM","FULL MOON EXPORTS","","258-D,SHOP#2&3,MR TOWER ,RAJA STREET,NEAR THER MUTTI,COIMBATORE-641001,TAMILNADU 
9150055185/9843063793","","TAMILNADU","9150055185/9843063793","fullmoonexports@hotmail.com","","","nogst","",
"2/13/2025 12:14:11 PM","SWETA ART JEWELLERS","","247,CENZER HOUSE, GROUND FLOOR,
SHAIKH MEMON STREET, ZAVERI BAZAR, NEXT TO TBZ, MUMBAI-400002
9323501542/9004188676","","MUMBAI","9323501542/9004188676","NOEMAIL@GMAIL.COM","","","NO GST","",
"2/13/2025 9:49:10 AM","BVS JEWELLERS","","PLOT NOA1,SILVER ZONE 5 STAR MIDC HUPARI KOLPUR MAHARASHTRA
9763525644/8975379393","","KOLHPUR","9763525644/8975379393","NOEMAIL@GMAIL.COM","","","NO GST NO","",
"2/12/2025 6:19:46 PM","OM JIYANSH JEWELS PVT LTD","","154,SURAT SPECIAL ECONOMIC ZONE, SACHINE,SURAT-394230
9892337370","","SURAT","9892337370","omjiyanshjewelspvtltd@gmail.com","","","nogst","",
"2/12/2025 5:49:22 PM","KALAVATI","","SURAT 
9270014105","","SURAT","9270014105","kalavaticam@gmail.com","","","nogst","",
